BARCODE	BRAND	DESCRIP	TYPE	SIZE	PRICE_C	QTY_ON_HND
9048	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
3.25806E+12	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
08175319086	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
32580612101	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
08175380236	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
08175380237	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
3.25806E+12	KRUG	GRAND CUVEE	WINE-CHAMPAGNE	750ML	204.69	
08700000625	GLENLIVET	18 YR - SINGLE MALT	WHIS-SCOTCH	750ML	170.19	2
S01207	GLENLIVET	18 YR - SINGLE MALT	WHIS-SCOTCH	750ML	170.19	2
S96712	GLENLIVET	18 YR - SINGLE MALT	WHIS-SCOTCH	750ML	170.19	2
08043240066	GLENLIVET	18 YR - SINGLE MALT	WHIS-SCOTCH	750ML	170.19	2
S1207	GLENLIVET	18 YR - SINGLE MALT	WHIS-SCOTCH	750ML	170.19	2
08676750012	GOLDSCHLAGER	SCHNAPPS	CORDIALS-IMPORTED	50ML	3.44	
S26105	GOLDSCHLAGER	SCHNAPPS	CORDIALS-IMPORTED	50ML	3.44	
08144000072	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
08954043656	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
08954049987	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
08366487114	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
08366487174	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
81175102004	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
81175102313	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
81175102367	STOLICHNAYA	VODKA	VODKA-IMPORTED	1.75L	33.34	1
83522900060	ABSOLUT 80	VODKA	VODKA-IMPORTED	1.75L	39.09	90
08043200155	ABSOLUT 80	VODKA	VODKA-IMPORTED	1.75L	39.09	90
08043200076	ABSOLUT 80	VODKA	VODKA-IMPORTED	1.75L	39.09	90
08832015200	ALTO DEL CARMEN	PISCO	AGUARDIENTE	750ML	22.99	12
S30209	ALTO DEL CARMEN	PISCO	AGUARDIENTE	750ML	22.99	12
08832015201	CAPEL PREMIUM	PISCO	AGUARDIENTE	750ML	22.99	4
08832015203	CAPEL PREMIUM	PISCO	AGUARDIENTE	750ML	22.99	4
3.01657E+12	TAITTINGER BRUT	CHAMPAGNE	WINE-CHAMPAGNE	750ML	51.74	
N276854	TAITTINGER BRUT	CHAMPAGNE	WINE-CHAMPAGNE	750ML	51.74	
08469250174	TAITTINGER BRUT	CHAMPAGNE	WINE-CHAMPAGNE	750ML	51.74	
08469250164	TAITTINGER BRUT	CHAMPAGNE	WINE-CHAMPAGNE	750ML	51.74	
850052	SUTTER HOME	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	187ML	8.61	
S78883	SUTTER HOME	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	187ML	8.61	
08520051874	SUTTER HOME	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	187ML	8.61	
0850062	SUTTER HOME	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	187ML	8.61	
0850072	SUTTER HOME	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	187ML	8.61	
850062	SUTTER HOME	CHARDONNAY	WINE-CAL CHARDONNAY	187ML	8.61	
S85937	SUTTER HOME	CHARDONNAY	WINE-CAL CHARDONNAY	187ML	8.61	
08520061874	SUTTER HOME	CHARDONNAY	WINE-CAL CHARDONNAY	187ML	8.61	
850092	SUTTER HOME	W.ZINFANDEL	WINE-CAL WHITE ZINFANDEL	187ML	8.61	
S78885	SUTTER HOME	W.ZINFANDEL	WINE-CAL WHITE ZINFANDEL	187ML	8.61	
08520091874	SUTTER HOME	W.ZINFANDEL	WINE-CAL WHITE ZINFANDEL	187ML	8.61	
08175305020	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
3.04961E+12	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
3.04961E+12	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
08175381475	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
08175382388	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
3.04961E+12	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
08175382487	VEUVE CLICQUOT	CHAMPAGNE BRUT	SPARK WINE-IMPORTED	750ML	74.74	15
850022	SUTTER HOME	MERLOT	WINE-CAL MERLOT	187ml	8.61	
08520021874	SUTTER HOME	MERLOT	WINE-CAL MERLOT	187ml	8.61	
S33307	SUTTER HOME	MERLOT	WINE-CAL MERLOT	187ml	8.61	
871740	ABSOLUT 80	VODKA	VODKA-IMPORTED	200ML	9.19	13
S00675	ABSOLUT 80	VODKA	VODKA-IMPORTED	200ML	9.19	13
S675	ABSOLUT 80	VODKA	VODKA-IMPORTED	200ML	9.19	13
83522900010	ABSOLUT 80	VODKA	VODKA-IMPORTED	200ML	9.19	13
08366410139	GRANT'S	SCOTCH	WHIS-SCOTCH	750ML	16.09	9
5.01033E+12	GRANT'S	SCOTCH	WHIS-SCOTCH	750ML	16.09	9
N66094	GRANT'S	SCOTCH	WHIS-SCOTCH	750ML	16.09	9
08800402614	FRIS	VODKA	VODKA-IMPORTED	1.75M	19.54	7
25.9990175	SKYY	VODKA	VODKA-IMPORTED	1.75L	29.89	7
72105901750	SKYY	VODKA	VODKA-IMPORTED	1.75L	29.89	7
08366411221	BALVENIE DOUBLEWOOD	12 YR - SINGLE MALT	WHIS-SCOTCH	750ML	86.24	1
N66344	BALVENIE DOUBLEWOOD	12 YR - SINGLE MALT	WHIS-SCOTCH	750ML	86.24	1
08366411223	BALVENIE SHERRY CASK	15 YR - SINGLE MALT	WHIS-SCOTCH	750ML	149.49	
N66354	BALVENIE SHERRY CASK	15 YR - SINGLE MALT	WHIS-SCOTCH	750ML	149.49	
08366487319	BALVENIE SHERRY CASK	15 YR - SINGLE MALT	WHIS-SCOTCH	750ML	149.49	
877310	SEAGRAM'S GIN	EXTRA DRY	GIN-AMERICAN	200ML	5.74	10
S10304	SEAGRAM'S GIN	EXTRA DRY	GIN-AMERICAN	200ML	5.74	10
08043240121	SEAGRAM'S GIN	EXTRA DRY	GIN-AMERICAN	200ML	5.74	10
02129600601	PAUL MASSON	BRANDY	BRANDY-AMERICAN	750ML	13.79	5
S33718	PAUL MASSON	BRANDY	BRANDY-AMERICAN	750ML	13.79	5
S14290	PAUL MASSON	BRANDY	BRANDY-AMERICAN	750ML	13.79	5
08800404577	PAUL MASSON	BRANDY	BRANDY-AMERICAN	750ML	13.79	5
02129660030	PAUL MASSON	BRANDY	BRANDY-AMERICAN	1.75L	24.14	3
S33710	PAUL MASSON	BRANDY	BRANDY-AMERICAN	1.75L	24.14	3
08800404575	PAUL MASSON	BRANDY	BRANDY-AMERICAN	1.75L	24.14	3
08048035540	BACARDI	LIMON	RUM-IMPORTED	750ML	17.24	44
P41145	BACARDI	LIMON	RUM-IMPORTED	750ML	17.24	44
08048035541	BACARDI	LIMON	RUM-IMPORTED	750ML	17.24	44
08048035626	BACARDI	LIMON	RUM-IMPORTED	750ML	17.24	44
08048035632	BACARDI	LIMON	RUM-IMPORTED	750ML	17.24	44
08048035635	BACARDI	LIMON	RUM-IMPORTED	750ML	17.24	44
08048035520	BACARDI	LIMON	RUM-IMPORTED	1.75L	26.44	6
P41129	BACARDI	LIMON	RUM-IMPORTED	1.75L	26.44	6
08048035624	BACARDI	LIMON	RUM-IMPORTED	1.75L	26.44	6
08048035627	BACARDI	LIMON	RUM-IMPORTED	1.75L	26.44	6
08048000123	BACARDI	LIMON	RUM-IMPORTED	1.75L	26.44	6
08811093105	GRAND MARNIER	LIQUEUR	CORDIALS-IMPORTED	200ML	14.59	
S957	GRAND MARNIER	LIQUEUR	CORDIALS-IMPORTED	200ML	14.59	
S58147	GRAND MARNIER	LIQUEUR	CORDIALS-IMPORTED	200ML	14.59	
08807615991	GRAND MARNIER	LIQUEUR	CORDIALS-IMPORTED	200ML	14.59	
72173300573	PATRON LIQ	CITRONAGE ORANGE	TEQUILA	750ML	26.44	2
79625441003	RON BARCELO	ANEJO	RUM-IMPORTED	750ML	18.39	13
N632704	RON BARCELO	ANEJO	RUM-IMPORTED	750ML	18.39	13
85698100010	RON BARCELO	ANEJO	RUM-IMPORTED	750ML	18.39	13
85698100013	RON BARCELO	ANEJO	RUM-IMPORTED	750ML	18.39	13
79602000015	RON BARCELO	DORADO	RUM-IMPORTED	750ML	14.94	19
N71054	RON BARCELO	DORADO	RUM-IMPORTED	750ML	14.94	19
85698100001	RON BARCELO	DORADO	RUM-IMPORTED	750ML	14.94	19
08048007530	CASTILLO GOLD	RUM	RUM-IMPORTED	1 LIT	12.64	
P40634	CASTILLO GOLD	RUM	RUM-IMPORTED	1 LIT	12.64	
08048006530	CASTILLO WHITE	RUM	RUM-IMPORTED	1 LIT	12.64	
P40535	CASTILLO WHITE	RUM	RUM-IMPORTED	1 LIT	12.64	
853810	E & J	VSOP BRANDY	BRANDY-AMERICAN	750ML	16.09	4
P220541	E & J	VSOP BRANDY	BRANDY-AMERICAN	750ML	16.09	4
0853810	E & J	VSOP BRANDY	BRANDY-AMERICAN	750ML	16.09	4
08500000381	E & J	VSOP BRANDY	BRANDY-AMERICAN	750ML	16.09	4
08175305035	VEUVE CLICQUOT PONSARDIN	DEMI-SEC	SPARK WINE-IMPORTED	750ML	63.24	
S41897	VEUVE CLICQUOT PONSARDIN	DEMI-SEC	SPARK WINE-IMPORTED	750ML	63.24	
S1724	ROBERT MONDAVI PS	CHARDONNAY	WINE-CAL CHARDONNAY	750ML	11.49	
08600346192	ROBERT MONDAVI PS	CHARDONNAY	WINE-CAL CHARDONNAY	750ML	11.49	
08811083122	CASA LAPOSTOLLE	CAB./SAUV.	WINE-CHILE	750ML	13.79	
08811093401	GRAND MARNIER	CINQUANTENAIRE	CORDIALS-IMPORTED	750ML	229.99	
08807616272	GRAND MARNIER	CINQUANTENAIRE	CORDIALS-IMPORTED	750ML	229.99	
08807616982	GRAND MARNIER	CINQUANTENAIRE	CORDIALS-IMPORTED	750ML	229.99	
08175381024	GRAND MARNIER	CINQUANTENAIRE	CORDIALS-IMPORTED	750ML	229.99	
09754610200	LOUIS ROEDERER ESTATE	BRUT	SPARK WINE-AMERICAN	750ML	24.14	
S42248	LOUIS ROEDERER ESTATE	BRUT	SPARK WINE-AMERICAN	750ML	24.14	
08811082101	CASA LAPOSTOLLE	CHARDONNAY	WINE-CHILE	750ML	13.79	
0881182101	CASA LAPOSTOLLE	CHARDONNAY	WINE-CHILE	750ML	13.79	
08396071628	J.WRAY JAMAICA RUM	SPECIAL GOLD	RUM-IMPORTED	1.75L	25.29	
08330004910	J.WRAY JAMAICA RUM	SPECIAL GOLD	RUM-IMPORTED	1.75L	25.29	
63619100730	J.WRAY JAMAICA RUM	SPECIAL GOLD	RUM-IMPORTED	1.75L	25.29	
7.21059E+11	J.WRAY JAMAICA RUM	SPECIAL GOLD	RUM-IMPORTED	1.75L	25.29	
72105900078	J.WRAY JAMAICA RUM	SPECIAL GOLD	RUM-IMPORTED	1.75L	25.29	
72105900198	J.WRAY JAMAICA RUM	SPECIAL GOLD	RUM-IMPORTED	1.75L	25.29	
08048035570	BACARDI	LIMON	RUM-IMPORTED	200ML	5.16	23
P41178	BACARDI	LIMON	RUM-IMPORTED	200ML	5.16	23
P41277	BACARDI	LIMON	RUM-IMPORTED	200ML	5.16	23
08048035560	BACARDI	LIMON	RUM-IMPORTED	375ML	9.19	75
P41160	BACARDI	LIMON	RUM-IMPORTED	375ML	9.19	75
08700020178	CAPT MORGAN	PRIVATE STOCK	RUM-IMPORTED	750ML	29.89	4
08832015262	FLOR DE CANA	4 YEAR - GOLD	RUM-IMPORTED	1.75L	28.74	21
02696469026	FLOR DE CANA	4 YEAR - GOLD	RUM-IMPORTED	1.75L	28.74	21
AS08832015262	FLOR DE CANA	4 YEAR - GOLD	RUM-IMPORTED	1.75L	28.74	21
02696419442	FLOR DE CANA	4 YEAR - SILVER	RUM-IMPORTED	1.75L	28.74	23
AS02696419442	FLOR DE CANA	4 YEAR - SILVER	RUM-IMPORTED	1.75L	28.74	23
08175383782	BELVEDERE	VODKA	VODKA-IMPORTED	750ML	32.19	18
08066036501	LAUDER'S	SCOTCH	WHIS-SCOTCH	1.75	21.84	4
08066048701	CRYSTAL PALACE	VODKA	VODKA-AMERICAN	1.75	17.24	1
08066048703	CRYSTAL PALACE	VODKA	VODKA-AMERICAN	1 LIT	10.34	12
S3574	CRYSTAL PALACE	VODKA	VODKA-AMERICAN	1 LIT	10.34	12
08567640317	SKOL	GIN	GIN-SPECIALTIES	1.75	19.54	3
N104032	SKOL	GIN	GIN-SPECIALTIES	1.75	19.54	3
08567640310	SKOL	GIN	GIN-AMERICAN	1 LIT	10.34	3
N104033	SKOL	GIN	GIN-AMERICAN	1 LIT	10.34	3
08048005560	BACARDI	BLACK	RUM-IMPORTED	375ML	9.19	10
P40063	BACARDI	BLACK	RUM-IMPORTED	375ML	9.19	10
08048000527	BACARDI	BLACK	RUM-IMPORTED	375ML	9.19	10
08230187875	PALO VIEJO GOLD	RUM	RUM-IMPORTED	375ML	7.46	12
S1460	PALO VIEJO GOLD	RUM	RUM-IMPORTED	375ML	7.46	12
08230187835	PALO VIEJO GOLD	RUM	RUM-IMPORTED	200ML	5.16	23
08230180075	PALO VIEJO WHITE	RUM	RUM-IMPORTED	1.75	24.14	6
S4044	PALO VIEJO WHITE	RUM	RUM-IMPORTED	1.75	24.14	6
08230180070	PALO VIEJO GOLD	RUM	RUM-IMPORTED	1.75	24.14	3
S4046	PALO VIEJO GOLD	RUM	RUM-IMPORTED	1.75	24.14	3
08954044903	MALIBU	COCONUT	RUM-IMPORTED	375ML	10.34	
P114066	MALIBU	COCONUT	RUM-IMPORTED	375ML	10.34	
08676751309	MALIBU	COCONUT	RUM-IMPORTED	375ML	10.34	
08230187876	PALO VIEJO WHITE	RUM	RUM-IMPORTED	375ML	7.46	7
S1492	PALO VIEJO WHITE	RUM	RUM-IMPORTED	375ML	7.46	7
08230187839	PALO VIEJO WHITE	RUM	RUM-IMPORTED	200ML	5.16	5
08048007520	CASTILLO GOLD	RUM	RUM-IMPORTED	1.75	20.69	
P40626	CASTILLO GOLD	RUM	RUM-IMPORTED	1.75	20.69	
08048027520	CASTILLO SPICED	RUM	RUM-IMPORTED	1.75	21.84	
08048027530	CASTILLO SPICED	RUM	RUM-IMPORTED	1 LIT	12.64	
08048006520	CASTILLO WHITE	RUM	RUM-IMPORTED	1.75	20.64	
P40527	CASTILLO WHITE	RUM	RUM-IMPORTED	1.75	20.64	
08723699205	ST REMY	VSOP FRENCH BRANDY	BRANDY-IMPORTED	1.75	33.34	1
66485800002	ANTIOQUENO ROJO	AGUARDIENTE	AGUARDIENTE	750ML	22.99	5
08954012915	HIRAM WALKER	CREME DE MENTHE - WT	CORDIALS-AMERICAN	750ML	13.79	
P86249	HIRAM WALKER	CREME DE MENTHE - WT	CORDIALS-AMERICAN	750ML	13.79	
08954012566	HIRAM WALKER	CACAO DARK	CORDIALS-AMERICAN	750ML	13.79	
08954012580	HIRAM WALKER	CREME DE CASSIS	CORDIALS-AMERICAN	750ML	13.79	
P84343	HIRAM WALKER	CREME DE CASSIS	CORDIALS-AMERICAN	750ML	13.79	
08676721010	BAILEYS	IRISH CREAM	IRISH CREAM	200ML	11.49	
08308966040	JAGERMEISTER	LIQUEUR	CORDIALS-IMPORTED	200ML	8.04	
74265114219	FERRARI-CARANO	MERLOT	WINE-CAL MERLOT	750ML	22.99	
S79416	FERRARI-CARANO	MERLOT	WINE-CAL MERLOT	750ML	22.99	
72645200015	MONTE ANTICO	TOSCANA	WINE-ITALY	750ML	12.64	
S220	MONTE ANTICO	TOSCANA	WINE-ITALY	750ML	12.64	
04933101096	LA CREMA MONTEREY	PINOT NOIR	WINE-CAL PINOT NOIR	750ML	19.54	5
08678569001	FAUSTINO V	RESERVA	WINE-SPAIN	750ML	21.84	
08700000172	ABSOLUT 80	VODKA	VODKA-IMPORTED	750ML	24.14	39
83522900030	ABSOLUT 80	VODKA	VODKA-IMPORTED	750ML	24.14	39
83522900070	ABSOLUT 80	VODKA	VODKA-IMPORTED	750ML	24.14	39
08043210675	ABSOLUT 80	VODKA	VODKA-IMPORTED	750ML	24.14	39
08043210715	ABSOLUT 80	VODKA	VODKA-IMPORTED	750ML	24.14	39
83522901015	ABSOLUT 80	VODKA	VODKA-IMPORTED	750ML	24.14	39
83522901082	ABSOLUT 80	VODKA	VODKA-IMPORTED	750ML	24.14	39
83522901010	ABSOLUT 80	VODKA	VODKA-IMPORTED	750ML	24.14	39
08043200031	ABSOLUT 80	VODKA	VODKA-IMPORTED	750ML	24.14	39
08811083126	CASA LAPOSTOLLE CUV ALEX	MERLOT	WINE-CHILE	750 M	26.44	
08954012563	HIRAM WALKER	CACAO WHITE	CORDIALS-AMERICAN	750ML	13.79	
08043211194	KAHLUA	LIQUEUR	CORDIALS-IMPORTED	750ML	29.89	4
08954012271	KAHLUA	LIQUEUR	CORDIALS-IMPORTED	750ML	29.89	4
08200016570	JOSE CUERVO	GOLD - ESPECIAL	TEQUILA	375ML	16.09	6
08200019301	JOSE CUERVO	GOLD - ESPECIAL	TEQUILA	375ML	16.09	6
S93303	JOSE CUERVO	GOLD - ESPECIAL	TEQUILA	375ML	16.09	6
81153801088	JOSE CUERVO	GOLD - ESPECIAL	TEQUILA	375ML	16.09	6
	JOSE CUERVO	GOLD - ESPECIAL	TEQUILA	375ML	16.09	6
81153801089	JOSE CUERVO	GOLD - ESPECIAL	TEQUILA	375ML	16.09	6
08330007525	GLENMORANGIE 18 YR	SINGLE MALT	WHIS-SCOTCH	750ML	146.04	
P28548	GLENMORANGIE 18 YR	SINGLE MALT	WHIS-SCOTCH	750ML	146.04	
08175381084	GLENMORANGIE 18 YR	SINGLE MALT	WHIS-SCOTCH	750ML	146.04	
08292822331	CANADIAN LTD	WHISKEY	WHIS-CANADIAN	1.75	18.39	6
N103042	CANADIAN LTD	WHISKEY	WHIS-CANADIAN	1.75	18.39	6
08112802316	CANADIAN MIST	CANADIAN	WHIS-CANADIAN	750ML	12.64	
P30247	CANADIAN MIST	CANADIAN	WHIS-CANADIAN	750ML	12.64	
08112802318	CANADIAN MIST	CANADIAN	WHIS-CANADIAN	750ML	12.64	
09674902114	EVAN WILLIAMS BLK	BOURBON WHISKEY	WHIS-AMERICAN	1.75	28.74	4
09674987852	RON LLAVE	WHITE RUM	RUM-IMPORTED	1 LIT	11.49	8
820420	POPOV	VODKA	VODKA-AMERICAN	1.0L	13.79	
08200012594	POPOV	VODKA	VODKA-AMERICAN	1.0L	13.79	
S94659	POPOV	VODKA	VODKA-AMERICAN	1.0L	13.79	
S94613	POPOV	VODKA	VODKA-AMERICAN	1.0L	13.79	
0820420	POPOV	VODKA	VODKA-AMERICAN	1.0L	13.79	
820410	POPOV	VODKA	VODKA-AMERICAN	1.0L	13.79	
0820410	POPOV	VODKA	VODKA-AMERICAN	1.0L	13.79	
08068614160	RONRICO	SILVER	RUM-IMPORTED	375ML	7.35	5
08800403282	BUCHANAN'S	12 YEARS	WHIS-SCOTCH	1.75	74.74	69
08811095531	BUCHANAN'S	12 YEARS	WHIS-SCOTCH	1.75	74.74	69
09674902134	EVAN WILLIAMS BLK	BOURBON WHISKEY	WHIS-AMERICAN	750ML	19.54	7
S25103	EVAN WILLIAMS BLK	BOURBON WHISKEY	WHIS-AMERICAN	750ML	19.54	7
08230175001	DON Q	GOLD	RUM-IMPORTED	750ML	18.39	3
S6513	DON Q	GOLD	RUM-IMPORTED	750ML	18.39	3
08230175002	DON Q	WHITE	RUM-IMPORTED	750ML	18.39	2
08230187837	PALO VIEJO WHITE	RUM	RUM-IMPORTED	750ML	13.79	10
S6507	PALO VIEJO WHITE	RUM	RUM-IMPORTED	750ML	13.79	10
08676721002	BAILEYS	IRISH CREAM	IRISH CREAM	1.75	65.54	16
806654	PERONI BEER	6PK - 12 OZ BOTTLES	BEER	12.OZ	14.36	6
08066095855	PERONI BEER	6PK - 12 OZ BOTTLES	BEER	12.OZ	14.36	6
S99851	PERONI BEER	6PK - 12 OZ BOTTLES	BEER	12.OZ	14.36	6
18195400002	PERONI BEER	6PK - 12 OZ BOTTLES	BEER	12.OZ	14.36	6
08396070813	JOSE CUERVO RSV. LA FAMILIA	EXTRA ANEJO	TEQUILA	750ML	206.99	8
S93387	JOSE CUERVO RSV. LA FAMILIA	EXTRA ANEJO	TEQUILA	750ML	206.99	8
08396072686	JOSE CUERVO RSV. LA FAMILIA	EXTRA ANEJO	TEQUILA	750ML	206.99	8
81153801145	JOSE CUERVO RSV. LA FAMILIA	EXTRA ANEJO	TEQUILA	750ML	206.99	8
08200072760	SMIRNOFF	VODKA 80	VODKA-AMERICAN	1.75M	24.14	65
820050	SMIRNOFF	VODKA 80	VODKA-AMERICAN	1 LIT	21.84	
S97732	SMIRNOFF	VODKA 80	VODKA-AMERICAN	1 LIT	21.84	
S50971	SMIRNOFF	VODKA 80	VODKA-AMERICAN	1 LIT	21.84	
0820050	SMIRNOFF	VODKA 80	VODKA-AMERICAN	1 LIT	21.84	
08200000005	SMIRNOFF	VODKA 80	VODKA-AMERICAN	1 LIT	21.84	
08273431372	FRONTERA	MERLOT	WINE-CHILE	1.5 L	11.49	6
P1810027	FRONTERA	MERLOT	WINE-CHILE	1.5 L	11.49	6
S25150	DEKUYPER	CACAO-WHITE	CORDIALS-AMERICAN	750ML	12.64	
08068632140	DEKUYPER	CACAO-WHITE	CORDIALS-AMERICAN	750ML	12.64	
08068632103	DEKUYPER	CACAO-WHITE	CORDIALS-AMERICAN	750ML	12.64	
08396019045	JOSE CUERVO	TRADICIONAL REPOSADO	TEQUILA	750ML	33.34	9
08396072706	JOSE CUERVO	TRADICIONAL REPOSADO	TEQUILA	750ML	33.34	9
81153801137	JOSE CUERVO	TRADICIONAL REPOSADO	TEQUILA	750ML	33.34	9
08366499040	GLENFIDDICH	15 YR - SINGLE MALT	WHIS-SCOTCH	750ML	96.59	2
N66224	GLENFIDDICH	15 YR - SINGLE MALT	WHIS-SCOTCH	750ML	96.59	2
08751291235	RODNEY STRONG	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	750ML	20.69	
08751292936	RODNEY STRONG	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	750ML	20.69	
08308520022	FRANCISCAN	CABERNET SAUVIGNON	WINE-CAL CABERNET SAVIGNON	750ML	22.99	
08811015058	HENNESSY	VS	COGNAC	1.75	91.99	17
S36228	HENNESSY	VS	COGNAC	1.75	91.99	17
P91124	COURVOISIER VS	VS	COGNAC	1.75	65.54	
08954012169	COURVOISIER VS	VS	COGNAC	1.75	65.54	
08068696102	COURVOISIER VS	VS	COGNAC	1.75	65.54	
08218408700	JACK DANIELS	SINGLE BRL. SELET 47%	WHIS-AMERICAN	750ML	57.49	2
P23341	JACK DANIELS	SINGLE BRL. SELET 47%	WHIS-AMERICAN	750ML	57.49	2
08218404679	JACK DANIELS	SINGLE BRL. SELET 47%	WHIS-AMERICAN	750ML	57.49	2
08218420335	JACK DANIELS	SINGLE BRL. SELET 47%	WHIS-AMERICAN	750ML	57.49	2
08807603002	BUCHANAN'S	18 YEAR - SPECIAL RSV	WHIS-SCOTCH	750ML	95.44	35
08811095534	BUCHANAN'S	18 YEAR - SPECIAL RSV	WHIS-SCOTCH	750ML	95.44	35
0811095534	BUCHANAN'S	18 YEAR - SPECIAL RSV	WHIS-SCOTCH	750ML	95.44	35
08807617831	BUCHANAN'S	18 YEAR - SPECIAL RSV	WHIS-SCOTCH	750ML	95.44	35
08811095530	BUCHANAN'S	12 YEARS	WHIS-SCOTCH	1LT	66.69	11
875510	GODIVA	WHITE CHOCOLATE	CORDIALS-IMPORTED	750ML	33.34	
S6035	GODIVA	WHITE CHOCOLATE	CORDIALS-IMPORTED	750ML	33.34	
08700000551	GODIVA	WHITE CHOCOLATE	CORDIALS-IMPORTED	750ML	33.34	
0875510	GODIVA	WHITE CHOCOLATE	CORDIALS-IMPORTED	750ML	33.34	
08954012531	HIRAM WALKER	ANISETTE	CORDIALS-AMERICAN	750ML	13.79	
P83188	HIRAM WALKER	ANISETTE	CORDIALS-AMERICAN	750ML	13.79	
08807603006	PAMPERO	ANIVERSARIO	RUM-IMPORTED	750ML	39.09	4
7.591E+12	PAMPERO	ANIVERSARIO	RUM-IMPORTED	750ML	39.09	4
0880763006	PAMPERO	ANIVERSARIO	RUM-IMPORTED	750ML	39.09	4
85293500115	CHOPIN	VODKA POTATO	VODKA-IMPORTED	750ML	29.89	5
08811055105	MOET & CHANDON IMPERIAL	BRUT	SPARK WINE-IMPORTED	750ML	62.09	7
08175381619	MOET & CHANDON IMPERIAL	BRUT	SPARK WINE-IMPORTED	750ML	62.09	7
08175382399	MOET & CHANDON IMPERIAL	BRUT	SPARK WINE-IMPORTED	750ML	62.09	7
08175382414	MOET & CHANDON IMPERIAL	BRUT	SPARK WINE-IMPORTED	750ML	62.09	7
08175382278	MOET & CHANDON IMPERIAL	BRUT	SPARK WINE-IMPORTED	750ML	62.09	7
08175382647	MOET & CHANDON IMPERIAL	BRUT	SPARK WINE-IMPORTED	750ML	62.09	7
08175383595	MOET & CHANDON IMPERIAL	BRUT	SPARK WINE-IMPORTED	750ML	62.09	7
08175383566	MOET & CHANDON IMPERIAL	BRUT	SPARK WINE-IMPORTED	750ML	62.09	7
08175383836	MOET & CHANDON IMPERIAL	BRUT	SPARK WINE-IMPORTED	750ML	62.09	7
08175383889	MOET & CHANDON IMPERIAL	BRUT	SPARK WINE-IMPORTED	750ML	62.09	7
08811055125	MOET & CHANDON IMPERIAL	NECTAR	SPARK WINE-IMPORTED	750ML	72.44	7
S14162	MOET & CHANDON IMPERIAL	NECTAR	SPARK WINE-IMPORTED	750ML	72.44	7
S19076	MOET & CHANDON IMPERIAL	NECTAR	SPARK WINE-IMPORTED	750ML	72.44	7
08068638140	DEKUYPER LIC	TRIPLE SEC	CORDIALS-AMERICAN	750ML	12.64	6
S33498	DEKUYPER LIC	TRIPLE SEC	CORDIALS-AMERICAN	750ML	12.64	6
02045351322	CAMPO VIEJO	RESERVA	WINE-SPAIN	750ML	17.24	
63343870008	CAMPO VIEJO	RESERVA	WINE-SPAIN	750ML	17.24	
85283210481	CAMPO VIEJO	RESERVA	WINE-SPAIN	750ML	17.24	
02045311332	CAMPO VIEJO	GRAN RESERVA	WINE-SPAIN	750ML	28.74	
S10711	CAMPO VIEJO	GRAN RESERVA	WINE-SPAIN	750ML	28.74	
63343870007	CAMPO VIEJO	GRAN RESERVA	WINE-SPAIN	750ML	28.74	
85283210538	CAMPO VIEJO	GRAN RESERVA	WINE-SPAIN	750ML	28.74	
74460706220	EL JIMADOR	REPOSADO	TEQUILA	750ML	28.74	6
74460706920	EL JIMADOR	REPOSADO	TEQUILA	750ML	28.74	6
N156114	EL JIMADOR	REPOSADO	TEQUILA	750ML	28.74	6
74460700370	EL JIMADOR	REPOSADO	TEQUILA	750ML	28.74	6
